Mario Is Missing! (USA).zip|Mario Is Missing|马里奥失踪记
Batman Returns (USA).zip|Batman Returns (USA)|蝙蝠侠归来（美）
Batman - The Video Game (Europe).zip|Batman - The Video Game (Europe)|蝙蝠侠
Batman - The Video Game (USA) (Beta 1).zip|Batman - The Video Game (USA) (Beta 1)|蝙蝠侠
Batman - The Video Game (USA) (Beta 2).zip|Batman - The Video Game (USA) (Beta 2)|蝙蝠侠
Batman - The Video Game (USA).zip|Batman - The Video Game (USA)|蝙蝠侠
Batsu & Terry - Makyou no Tetsujin Race (Japan).zip|Batsu & Terry - Makyou no Tetsujin Race (Japan)|魔境铁人(日版)
Battle Baseball (Japan).zip|Battle Baseball (Japan)|战斗棒球
Battle Chess (USA).zip|Battle Chess (USA)|决战西洋棋
BattleCity (Japan).zip|BattleCity (Japan)|坦克大战
Battle Fleet (Japan).zip|Battle Fleet (Japan)|大海战
Battle of Chester.zip|Battle of Chester|彻斯特之战
Battle of Olympus- The (Europe).zip|Battle of Olympus- The (Europe)|奥林匹斯之战(欧)
Battle of Olympus- The (USA).zip|Battle of Olympus- The (USA)|奥林匹斯之战（美）
Battle of the dragon.zip|Battle of the dragon|龙之战
Battleship (Europe) (En-Fr-De-Es).zip|Battleship (Europe) (En-Fr-De-Es)|超级战舰（欧）
Battleship (USA).zip|Battleship (USA)|超级战舰（美）
Battle Stadium - Senbatsu Pro Yakyuu (Japan).zip|Battle Stadium - Senbatsu Pro Yakyuu (Japan)|战斗野球 - 职业野球选拔赛
Battle Storm (Japan).zip|Battle Storm (Japan)|战斗风暴
Battle tank.zip|Battle tank|战斗坦克
Battletoads-Double Dragon (Europe).zip|Battletoads-Double Dragon (Europe)|忍者蛙与双截龙（欧）
Battletoads-Double Dragon (USA).zip|Battletoads-Double Dragon (USA)|忍者蛙与双截龙（美）
Battletoads (Europe).zip|Battletoads (Europe)|忍者蛙（欧）
Battletoads (USA).zip|Battletoads (USA)|忍者蛙（美）
BB Car (Unknown) (Unl).zip|BB Car (Unknown) (Unl)|BB车
Beastmaster.zip|Beastmaster|野兽之王
Beauty and the Beast (Europe).zip|Beauty and the Beast (Europe)|美女与野兽
Be-Bop-Highschool - Koukousei Gokuraku Densetsu (Japan).zip|Be-Bop-Highschool - Koukousei Gokuraku Densetsu (Japan)|高校生极乐传说
Beetlejuice (USA).zip|Beetlejuice (USA)|甲壳虫汁
Berg time.zip|Berg time|伯格时间
Best Keiba - Derby Stallion (Japan) (Rev A).zip|Best Keiba - Derby Stallion (Japan) (Rev A)|德贝赛马
Best of the Best - Championship Karate (USA).zip|Best of the Best - Championship Karate (USA)|龙虎之拳（美）
Best Play Pro Yakyuu - Shin Data (Japan).zip|Best Play Pro Yakyuu - Shin Data (Japan)|最佳职业棒球
Best Play Pro Yakyuu Special (Japan).zip|Best Play Pro Yakyuu Special (Japan)|最佳职业棒球贴特别版
Best Play Pro Yakyuu Special (Japan) (Rev A).zip|Best Play Pro Yakyuu Special (Japan) (Rev A)|最佳职业棒球贴特别版
Best professional baseball 90.zip|Best professional baseball 90|职业棒球90
Best Professional Baseball '90.zip|Best Professional Baseball '90|职业棒球90
Beyond the horizon.zip|Beyond the horizon|超越地平线
Bible adventure.zip|Bible adventure|圣经大冒险
Bible Adventures (USA) (Unl).zip|Bible Adventures (USA) (Unl)|圣经大冒险
Bible Adventures (USA) (v1.1) (Unl).zip|Bible Adventures (USA) (v1.1) (Unl)|圣经大冒险
Bible Adventures (USA) (v1.2) (Unl).zip|Bible Adventures (USA) (v1.2) (Unl)|圣经大冒险
Bible Adventures (USA) (v1.3) (Unl).zip|Bible Adventures (USA) (v1.3) (Unl)|圣经大冒险
Bible Adventures (USA) (v1.4) (Unl).zip|Bible Adventures (USA) (v1.4) (Unl)|圣经大冒险
Bible Buffet (USA) (v6.0) (Unl).zip|Bible Buffet (USA) (v6.0) (Unl)|圣经自助餐
Big air wing (soccer teenager).zip|Big air wing (soccer teenager)|足球少年
Big bee [Chinese version].zip|Big bee [Chinese version]|大黄蜂
Big eye frog square.zip|Big eye frog square|大眼蛙方块
Bigfoot (Europe).zip|Bigfoot (Europe)|大脚赛车（欧）
Bigfoot (USA).zip|Bigfoot (USA)|大脚赛车（美）
Big Nose and the Witchdoctor (USA) (Beta) (Unl).zip|Big Nose and the Witchdoctor (USA) (Beta) (Unl)|大鼻子原始人
Big Nose Freaks Out (USA) (Unl).zip|Big Nose Freaks Out (USA) (Unl)|大鼻子原始人
Big nose primitive.zip|Big nose primitive|大鼻子原始人
Big Nose the Caveman (USA) (Unl).zip|Big Nose the Caveman (USA) (Unl)|大鼻子原始人
Big planet.zip|Big planet|大星球
Big shot of the universe.zip|Big shot of the universe|大空头
Big tank.zip|Big tank|大坦克
Bikkuriman World - Gekitou Sei Senshi (Japan).zip|Bikkuriman World - Gekitou Sei Senshi (Japan)|激斗圣战士
Bikkuri Nekketsu Shin Kiroku! - Harukanaru Kin Medal (Japan).zip|Bikkuri Nekketsu Shin Kiroku! - Harukanaru Kin Medal (Japan)|热血新记录
Bill Elliott's NASCAR Challenge (USA).zip|Bill Elliott's NASCAR Challenge (USA)|比尔埃略特之云斯顿赛车锦标赛
Billiard ball (Chinese version).zip|Billiard ball (Chinese version)|台球
Billiard ball.zip|Billiard ball|台球
Billiard [Chinese version].zip|Billiard [Chinese version]|台球
Billiard.zip|Billiard|台球
Bill & Ted's Excellent Video Game Adventure (USA).zip|Bill & Ted's Excellent Video Game Adventure (USA)|阿比阿弟的冒险
Binary Land (Japan).zip|Binary Land (Japan)|企鹅世界(日版)
Bing Bee III Unlimited Life.zip|Bing Bee III Unlimited Life|冰蜂III(无限生命)
Bing Bee II unlimited life.zip|Bing Bee II unlimited life|冰蜂II(无限生命)
Bingo 75 (Asia) (Unl).zip|Bingo 75 (Asia) (Unl)|宾果?75
BinGuo 75 (Asia) (Unl).zip|BinGuo 75 (Asia) (Unl)|宾果 75
Biochemical.zip|Biochemical|生化入侵
Bio Force Ape (Japan) (En) (Proto).zip|Bio Force Ape (Japan) (En) (Proto)|生物力量猿人
Bionic Commando (Europe).zip|Bionic Commando (Europe)|希魔复活（欧）
Bionic commando.zip|Bionic commando|希魔复活
Bionic Commando (USA).zip|Bionic Commando (USA)|希魔复活（美）
Bio Senshi Dan - Increaser Tono Tatakai (Japan).zip|Bio Senshi Dan - Increaser Tono Tatakai (Japan)|生化战士
Birdman team.zip|Birdman team|鸟人战队
Bird story.zip|Bird story|鸟的故事
Bird Week (Japan).zip|Bird Week (Japan)|鸟的故事
Black and white chess.zip|Black and white chess|黑与白
Black Bass II- The (Japan).zip|Black Bass II- The (Japan)|黑巴斯2
Black Bass- The (Japan).zip|Black Bass- The (Japan)|黑巴斯（日）
Black Friday-13.zip|Black Friday-13|黑色星期五
Blackjack (USA) (Unl).zip|Blackjack (USA) (Unl)|梅花杰克
Black street.zip|Black street|黑色街道
Blades of Steel (Europe).zip|Blades of Steel (Europe)|钢刀曲棍球（欧）
Blades of Steel (USA).zip|Blades of Steel (USA)|钢刀曲棍球（美）
Blaster Master (Europe).zip|Blaster Master (Europe)|超惑星战记（欧）
Blaster Master (USA) (Beta).zip|Blaster Master (USA) (Beta)|超惑星战记（美）
Blaster Master (USA).zip|Blaster Master (USA)|超惑星战记（美）
Blasting batman.zip|Blasting batman|爆破蝙蝠侠
Blasting expert.zip|Blasting expert|爆破专家
Blodia Land - Puzzle Quest (Japan).zip|Blodia Land - Puzzle Quest (Japan)|方块世界
Blood drama.zip|Blood drama|热血物语
Blood hockey.zip|Blood hockey|热血曲棍球
Blood march.zip|Blood march|热血行进
Bloody college dodgeball.zip|Bloody college dodgeball|热血挑战躲避球
Bloody Warriors - Shan-Go no Gyakushuu (Japan).zip|Bloody Warriors - Shan-Go no Gyakushuu (Japan)|血魔的反击
Bloque Magico- El (Spain) (Gluk Video) (Unl).zip|Bloque Magico- El (Spain) (Gluk Video) (Unl)|魔法封锁 (西班牙版)
Blue Marlin- The (Japan).zip|Blue Marlin- The (Japan)|蓝色马林鱼（日）
Blue Marlin- The (USA).zip|Blue Marlin- The (USA)|蓝色马林鱼（美）
Blue navy.zip|Blue navy|海军蓝
Blues Brothers- The (Europe).zip|Blues Brothers- The (Europe)|布鲁斯兄弟（欧）
Blues Brothers- The (USA).zip|Blues Brothers- The (USA)|布鲁斯兄弟（美）
Blue Shadow (Europe).zip|Blue Shadow (Europe)|红影战士
Bodhisattva Should Be Stringent in War Chinese.zip|Bodhisattva Should Be Stringent in War Chinese|菩萨严苛之战
Bodhisattva war of necessity (Chinese version).zip|Bodhisattva war of necessity (Chinese version)|菩萨必然之战
Bo Jackson Baseball (USA).zip|Bo Jackson Baseball (USA)|博杰克逊棒球
Bokosuka War.zip|Bokosuka War|布克苏卡战记
Bokosuka Wars (Japan).zip|Bokosuka Wars (Japan)|布克苏卡战记
Bomber King (Japan).zip|Bomber King (Japan)|炸弹之王
Bomber Man II (Japan).zip|Bomber Man II (Japan)|炸弹人2（日）
Bomberman II (USA).zip|Bomberman II (USA)|炸弹人2（美）
Bomberman is not dead.zip|Bomberman is not dead|不死炸弹人
Bomber Man (Japan).zip|Bomber Man (Japan)|炸弹人（日）
Bomberman killman revised.zip|Bomberman killman revised|炸弹人
Bomberman (USA).zip|Bomberman (USA)|炸弹人（美）
Bomb jack.zip|Bomb jack|炸弹杰克
Bomb Superman 1 [Chinese version].zip|Bomb Superman 1 [Chinese version]|炸弹超人1
Bomb superman 1.zip|Bomb superman 1|炸弹超人1
Bomb Superman 2.zip|Bomb Superman 2|炸弹超人2
Bonk's Adventure (USA).zip|Bonk's Adventure (USA)|邦克大冒险
Bonnie Rabbit - Birthday Feast.zip|Bonnie Rabbit - Birthday Feast|邦妮兔
Bonnie Rabbit - Fun House.zip|Bonnie Rabbit - Fun House|邦妮兔
Booby Kids (Japan).zip|Booby Kids (Japan)|陷阱小子
Booky Man (Spain) (Gluk Video) (Unl).zip|Booky Man (Spain) (Gluk Video) (Unl)|时空小子
Boulder Dash (Europe).zip|Boulder Dash (Europe)|寻宝大进击（欧）
Boulder Dash (Japan).zip|Boulder Dash (Japan)|寻宝大进击（日）
Boulder Dash (USA).zip|Boulder Dash (USA)|寻宝大进击（美）
bowling.zip|bowling|保龄球
Bowling (Unknown) (Proto).zip|Bowling (Unknown) (Proto)|保龄球
boxing.zip|boxing|拳击
Boy and his snowman.zip|Boy and his snowman|雪人兄弟
Boy with bubble.zip|Boy with bubble|泡泡男孩
Bram Stoker's Dracula (Europe).zip|Bram Stoker's Dracula (Europe)|吸血鬼德拉裘拉之谜（欧）
Bram Stoker's Dracula (USA).zip|Bram Stoker's Dracula (USA)|吸血鬼德拉裘拉之谜（美）
Breaking through the fire net 2.zip|Breaking through the fire net 2|突破火网2
Break Time - The National Pool Tour (USA).zip|Break Time - The National Pool Tour (USA)|休闲桌球
BrickBreaker 2.zip|BrickBreaker 2|碎砖机2
Brilliant Com Pack 2 (Korea) (Unl).zip|Brilliant Com Pack 2 (Korea) (Unl)|辉煌组合2
Brush Roller (Asia) (Unl).zip|Brush Roller (Asia) (Unl)|刷子与滚筒
Bubble Bobble 2 (Japan).zip|Bubble Bobble 2 (Japan)|泡泡龙2（日）
Bubble Bobble Part 2 (USA).zip|Bubble Bobble Part 2 (USA)|泡泡龙2（美）
Bubble Bobble (USA).zip|Bubble Bobble (USA)|泡泡龙（美）
Bucky O'Hare (Europe).zip|Bucky O'Hare (Europe)|外星战将（欧）
Bucky O'Hare (Japan).zip|Bucky O'Hare (Japan)|外星战将（日）
Bucky O'Hare (USA).zip|Bucky O'Hare (USA)|外星战将（美）
Buggy Popper (Japan).zip|Buggy Popper (Japan)|公路追逐赛
Bugs Bunny Birthday Blowout- The (USA).zip|Bugs Bunny Birthday Blowout- The (USA)|邦尼兔 - 生日盛宴（美）
Bugs Bunny Blowout- The (Europe).zip|Bugs Bunny Blowout- The (Europe)|邦尼兔 - 生日盛宴（欧）
Bugs Bunny Crazy Castle- The (USA).zip|Bugs Bunny Crazy Castle- The (USA)|邦尼兔 - 疯狂城堡
Bugs Bunny Fun House (USA) (Beta).zip|Bugs Bunny Fun House (USA) (Beta)|邦尼兔 - 趣味屋
Bump'n'Jump (USA).zip|Bump'n'Jump (USA)|碰碰飞车
Burai Fighter (Europe).zip|Burai Fighter (Europe)|无赖战士（欧）
Burai Fighter (Japan).zip|Burai Fighter (Japan)|无赖战士（日）
Burai Fighter (USA).zip|Burai Fighter (USA)|无赖战士（美）
BurgerTime (Japan).zip|BurgerTime (Japan)|汉堡世界（日）
BurgerTime (USA).zip|BurgerTime (USA)|汉堡世界（美）
Business Wars (Japan).zip|Business Wars (Japan)|商场战争
Buzz & Waldog (USA) (Proto) (Unl).zip|Buzz & Waldog (USA) (Proto) (Unl)|巴治与沃尔多
B-Wings (Japan).zip|B-Wings (Japan)|B计划
Cabal (USA).zip|Cabal (USA)|勇士们
cactus.zip|cactus|卡克特斯
Cadillac (Japan).zip|Cadillac (Japan)|卡迪拉克扑克
Caesars Palace (USA) (Beta).zip|Caesars Palace (USA) (Beta)|凯撒宫
Caesars Palace (USA).zip|Caesars Palace (USA)|凯撒宫
California Games (Europe).zip|California Games (Europe)|加州运动（欧）
California Games (USA).zip|California Games (USA)|加州运动（美）
California Raisins - The Grape Escape (USA) (Proto 1).zip|California Raisins - The Grape Escape (USA) (Proto 1)|加州提子-大逃亡
California Raisins - The Grape Escape (USA) (Proto 2).zip|California Raisins - The Grape Escape (USA) (Proto 2)|加州提子-大逃亡
Caltron - 6 in 1 (USA) (Unl).zip|Caltron - 6 in 1 (USA) (Unl)|卡特隆合卡 -?6?合?1
Capcom Barcelona '92 (Japan).zip|Capcom Barcelona '92 (Japan)|巴塞罗那奥运92
Capcom's Gold Medal Challenge '92 (Europe).zip|Capcom's Gold Medal Challenge '92 (Europe)|金牌挑战赛92（欧）
Capcom's Gold Medal Challenge '92 (USA).zip|Capcom's Gold Medal Challenge '92 (USA)|金牌挑战赛92（美）
Caper Circus.zip|Caper Circus|马戏团遇险
Captain America and the Avengers (Australia).zip|Captain America and the Avengers (Australia)|上尉密令（澳）
Captain America and the Avengers.zip|Captain America and the Avengers|上尉密令
Captain America and the Avengers (USA).zip|Captain America and the Avengers (USA)|上尉密令（美）
Captain Comic - The Adventure (USA) (Unl).zip|Captain Comic - The Adventure (USA) (Unl)|圣经冒险
Captain ED (Japan).zip|Captain ED (Japan)|上尉Ed
Captain Planet and the Planeteers (Europe).zip|Captain Planet and the Planeteers (Europe)|地球超人（欧）
Captain Planet and the Planeteers (USA).zip|Captain Planet and the Planeteers (USA)|地球超人（美）
Captain Saver (Japan).zip|Captain Saver (Japan)|救援队长
Captain Silver (Japan).zip|Captain Silver (Japan)|锡鲁巴船长
Captain Skyhawk (Europe).zip|Captain Skyhawk (Europe)|天鹰上尉（欧）
Captain Skyhawk (USA).zip|Captain Skyhawk (USA)|天鹰上尉（美）
Captain Skyhawk (USA) (Rev A).zip|Captain Skyhawk (USA) (Rev A)|天鹰上尉（美）
Captain Tsubasa (Japan).zip|Captain Tsubasa (Japan)|天使之翼
Captain Tsubasa Vol. II - Super Striker (Japan).zip|Captain Tsubasa Vol. II - Super Striker (Japan)|天使之翼2
Carpenter brother (thump-thump).zip|Carpenter brother (thump-thump)|木匠兄弟
Casino Boy 2.zip|Casino Boy 2|赌场男孩2
Casino Derby (Japan).zip|Casino Derby (Japan)|赛马2
Casino Kid II (USA).zip|Casino Kid II (USA)|赌城小子2
Casino kid.zip|Casino kid|赌城小子
Casino Kid (USA).zip|Casino Kid (USA)|赌城小子
Castelian (Europe).zip|Castelian (Europe)|福星大嘴鸟（欧）
Castelian (USA).zip|Castelian (USA)|福星大嘴鸟（美）
Castle adventure.zip|Castle adventure|城堡探险
Castle Excellent (Japan).zip|Castle Excellent (Japan)|城堡探险
Castle of Deceit (USA) (Unl).zip|Castle of Deceit (USA) (Unl)|欺骗城堡
Castle of Dragon (USA).zip|Castle of Dragon (USA)|龙之城堡
Castle Quest (Japan).zip|Castle Quest (Japan)|奇幻大冒险
Castlequest (USA).zip|Castlequest (USA)|精致之城
Castlevania 2.zip|Castlevania 2|恶魔城2
Castlevania III - Dracula's Curse (Europe).zip|Castlevania III - Dracula's Curse (Europe)|恶魔城3:德古拉的诅咒（欧）
Castlevania III - Dracula's Curse (USA).zip|Castlevania III - Dracula's Curse (USA)|恶魔城3:德古拉的诅咒（美）
Castlevania II - Simon's Quest (Europe).zip|Castlevania II - Simon's Quest (Europe)|恶魔城II-西蒙冒险（欧）
Castlevania II - Simon's Quest (USA).zip|Castlevania II - Simon's Quest (USA)|恶魔城II-西蒙冒险（美）
Castlevania (USA).zip|Castlevania (USA)|恶魔城（美）
Castlevania (USA) (Rev A).zip|Castlevania (USA) (Rev A)|恶魔城（美）
Castlevania Zombie Edition HACK.zip|Castlevania Zombie Edition HACK|恶魔城僵尸版黑客
Cat and mouse 3.zip|Cat and mouse 3|猫鼠大乱斗3
Cat and mouse.zip|Cat and mouse|猫鼠大乱斗
Cat maze.zip|Cat maze|猫神
Cat Ninden Teyandee (Japan).zip|Cat Ninden Teyandee (Japan)|猫党忍者传
Caveman Games (USA).zip|Caveman Games (USA)|原始人运动会
Cave warrior.zip|Cave warrior|洞穴武士
Chain block.zip|Chain block|起重机
Challenge dragon.zip|Challenge dragon|龙的挑战
Challenge of the Dragon (USA) (Unl).zip|Challenge of the Dragon (USA) (Unl)|龙的挑战
Challenger (Japan).zip|Challenger (Japan)|列车寻宝
Championship Bowling (Japan).zip|Championship Bowling (Japan)|保龄球锦标赛（日）
Championship Lode Runner (Japan).zip|Championship Lode Runner (Japan)|淘金者锦标赛
Championship Pool (USA).zip|Championship Pool (USA)|花式台球
Chaos World (Japan).zip|Chaos World (Japan)|混沌世界
Chapter of Ninja Jun Ashura.zip|Chapter of Ninja Jun Ashura|忍者君:阿修罗之章
Cheetah Man 2.zip|Cheetah Man 2|猎豹人2
Cheetahmen II (USA) (Unl).zip|Cheetahmen II (USA) (Unl)|猎豹人2
Chess 2.zip|Chess 2|国际象棋2
Chess 3.zip|Chess 3|国际象棋3
Chess Academy (Asia) (NTSC) (Unl).zip|Chess Academy (Asia) (NTSC) (Unl)|象棋学园
Chess master.zip|Chess master|国际象棋大师
Chessmaster- The (Europe).zip|Chessmaster- The (Europe)|国际象棋大师（欧）
Chessmaster- The (USA).zip|Chessmaster- The (USA)|国际象棋大师（美）
Chester Field - Ankoku Shin e no Chousen (Japan) (Beta).zip|Chester Field - Ankoku Shin e no Chousen (Japan) (Beta)|暗黑神的挑战
Chester Field - Ankoku Shin e no Chousen (Japan).zip|Chester Field - Ankoku Shin e no Chousen (Japan)|暗黑神的挑战
Chevaliers du Zodiaque- Les - La Legende d'Or (France).zip|Chevaliers du Zodiaque- Les - La Legende d'Or (France)|圣斗士星矢 - 黄金传说
Chibi Maruko-chan - Uki Uki Shopping (Japan).zip|Chibi Maruko-chan - Uki Uki Shopping (Japan)|樱桃小丸子大富翁
Chiisana Obake - Acchi Socchi Kocchi (Japan).zip|Chiisana Obake - Acchi Socchi Kocchi (Japan)|三只小妖怪
Chik Bik Ji Jin - Saam Gwok Ji (Asia) (Unl).zip|Chik Bik Ji Jin - Saam Gwok Ji (Asia) (Unl)|三国志-赤壁之战
Chiki Chiki Machine Mou Race (Japan).zip|Chiki Chiki Machine Mou Race (Japan)|怪车大赛
Chiller (Australia) (Unl).zip|Chiller (Australia) (Unl)|毛骨悚然（澳）
Chiller (USA) (Unl).zip|Chiller (USA) (Unl)|毛骨悚然（美）
Chinese Bunny (Chinese version).zip|Chinese Bunny (Chinese version)|中国兔
Chinese Checkers (Asia) (NTSC) (Unl).zip|Chinese Checkers (Asia) (NTSC) (Unl)|中国跳棋
Chinese Checkers (Asia) (PAL) (Unl).zip|Chinese Checkers (Asia) (PAL) (Unl)|中国跳棋
Chinese Chess (Chinese version).zip|Chinese Chess (Chinese version)|中国象棋
Chinese KungFu (Asia) (Unl).zip|Chinese KungFu (Asia) (Unl)|中国功夫
Chip 'n Dale - Rescue Rangers 2 (Europe).zip|Chip 'n Dale - Rescue Rangers 2 (Europe)|松鼠大作战2（欧）
Chip 'n Dale - Rescue Rangers 2 (USA).zip|Chip 'n Dale - Rescue Rangers 2 (USA)|松鼠大作战2（美）
Chip 'n Dale - Rescue Rangers (Europe).zip|Chip 'n Dale - Rescue Rangers (Europe)|松鼠大作战1（欧）
Chip 'n Dale - Rescue Rangers (USA).zip|Chip 'n Dale - Rescue Rangers (USA)|松鼠大作战1（美）
Chip's Challenge (USA) (v0.924B) (Proto).zip|Chip's Challenge (USA) (v0.924B) (Proto)|芯片的挑战
Chip to Dale no Daisakusen 2 (Japan).zip|Chip to Dale no Daisakusen 2 (Japan)|松鼠大作战 - 奇奇与蒂蒂 II
Chip to Dale no Daisakusen (Japan).zip|Chip to Dale no Daisakusen (Japan)|松鼠大作战 - 奇奇与蒂蒂
Chitei Senkuu Vazolder (Japan).zip|Chitei Senkuu Vazolder (Japan)|地底大作战
Chiyonofuji no Ooichou (Japan).zip|Chiyonofuji no Ooichou (Japan)|千代富士 - 大银杏相扑
Choplifter (Japan) (En) (Rev 1).zip|Choplifter (Japan) (En) (Rev 1)|直升机大战
Chou Fuyuu Yousai Exed Exes (Japan).zip|Chou Fuyuu Yousai Exed Exes (Japan)|太空大战
Choujikuu Yousai - Macross (Japan).zip|Choujikuu Yousai - Macross (Japan)|超时空要塞
